review_id,review,sentiment
1,"Great service, helpful support",positive
2,Poor experience: took ages to resolve,negative
3,"Great service, very satisfied",positive
4,Very disappointed with the service. took ages to resolve,negative
5,The service outage for hours was unacceptable and frustrating.,negative
6,Poor experience: website kept crashing,negative
7,I waited too long and service outage for hours,negative
8,Very disappointed with the service. problem still not fixed,negative
9,Excellent support. helpful support,positive
10,Terrible support. took ages to resolve,negative
11,Very disappointed with the service. kept transferring my call,negative
12,Excellent support. friendly staff,positive
13,"Great service, refund processed smoothly",positive
14,Terrible support. service outage for hours,negative
15,Excellent support. very satisfied,positive
16,Very disappointed with the service. agent was rude,negative
17,Excellent support. friendly staff,positive
18,"Great service, refund processed smoothly",positive
19,Terrible support. problem still not fixed,negative
20,Poor experience: could not reach anyone,negative
21,"Great service, very satisfied",positive
22,Very happy with the quick response: quick resolution,positive
23,Excellent support. very satisfied,positive
24,Terrible support. agent was rude,negative
25,Very disappointed with the service. kept transferring my call,negative
26,Very disappointed with the service. charged me extra,negative
27,Excellent support. quick resolution,positive
28,Loved the refund processed smoothly and the staff were helpful.,positive
29,Poor experience: charged me extra,negative
30,Excellent support. very satisfied,positive
31,The billing issue not resolved was unacceptable and frustrating.,negative
32,Poor experience: website kept crashing,negative
33,"Great service, friendly staff",positive
34,Poor experience: billing issue not resolved,negative
35,Loved the refund processed smoothly and the staff were helpful.,positive
36,Loved the very satisfied and the staff were helpful.,positive
37,The agent was rude was unacceptable and frustrating.,negative
38,"Great service, very satisfied",positive
39,Excellent support. friendly staff,positive
40,Poor experience: promised callback never came,negative
41,Terrible support. website kept crashing,negative
42,"Great service, helpful support",positive
43,Very happy with the quick response: quick resolution,positive
44,Poor experience: website kept crashing,negative
45,"Great service, very satisfied",positive
46,Very disappointed with the service. took ages to resolve,negative
47,Excellent support. quick resolution,positive
48,The took ages to resolve was unacceptable and frustrating.,negative
49,I waited too long and took ages to resolve,negative
50,Very happy with the quick response: quick resolution,positive
51,Very happy with the quick response: helpful support,positive
52,Loved the quick resolution and the staff were helpful.,positive
53,Very happy with the quick response: helpful support,positive
54,Terrible support. promised callback never came,negative
55,Loved the friendly staff and the staff were helpful.,positive
56,Very disappointed with the service. kept transferring my call,negative
57,The charged me extra was unacceptable and frustrating.,negative
58,"Great service, friendly staff",positive
59,"Great service, quick resolution",positive
60,Very disappointed with the service. kept transferring my call,negative
61,Poor experience: could not reach anyone,negative
62,Very happy with the quick response: very satisfied,positive
63,The service outage for hours was unacceptable and frustrating.,negative
64,Loved the refund processed smoothly and the staff were helpful.,positive
65,Very disappointed with the service. billing issue not resolved,negative
66,I waited too long and promised callback never came,negative
67,"Great service, friendly staff",positive
68,Terrible support. took ages to resolve,negative
69,Poor experience: website kept crashing,negative
70,I waited too long and problem still not fixed,negative
71,Poor experience: took ages to resolve,negative
72,The took ages to resolve was unacceptable and frustrating.,negative
73,The agent was rude was unacceptable and frustrating.,negative
74,Very happy with the quick response: quick resolution,positive
75,I waited too long and charged me extra,negative
76,"Great service, quick resolution",positive
77,I waited too long and could not reach anyone,negative
78,Loved the helpful support and the staff were helpful.,positive
79,The promised callback never came was unacceptable and frustrating.,negative
80,Terrible support. charged me extra,negative
